"Organism","Cluster ID","Name","Accession","Chromosome","Strand","Start","Stop","Precursors in cluster","Spanning size of cluster"
"Homo sapiens","hsa_64","hsa-mir-122","MI0000442","chr18","+","58451074","58451158","2","79"
"Homo sapiens","hsa_64","hsa-mir-3591","MI0017383","chr18","-","58451080","58451152","2","79"
"Homo sapiens","hsa_65","hsa-mir-4745","MI0017384","chr19","+","804940","805001","2","8714"
"Homo sapiens","hsa_65","hsa-mir-3187","MI0014231","chr19","+","813584","813653","2","8714"
"Homo sapiens","hsa_66","hsa-mir-1227","MI0006316","chr19","-","2234062","2234149","2","1865"
"Homo sapiens","hsa_66","hsa-mir-6789","MI0022634","chr19","-","2235829","2235926","2","1865"
"Homo sapiens","hsa_67","hsa-mir-6885","MI0022732","chr19","-","6389638","6389703","2","3346"
"Homo sapiens","hsa_67","hsa-mir-6790","MI0022635","chr19","-","6392921","6392983","2","3346"
"Homo sapiens","hsa_69","hsa-mir-181c","MI0000271","chr19","+","13874699","13874808","2","313"
"Homo sapiens","hsa_69","hsa-mir-181d","MI0003139","chr19","+","13874875","13875011","2","313"
"Homo sapiens","hsa_70","hsa-mir-642a","MI0003657","chr19","+","45674928","45675024","2","81"
"Homo sapiens","hsa_70","hsa-mir-642b","MI0016685","chr19","-","45674932","45675008","2","81"
"Homo sapiens","hsa_71","hsa-mir-3190","MI0014235","chr19","+","47226942","47227021","2","78"
"Homo sapiens","hsa_71","hsa-mir-3191","MI0014236","chr19","-","47226944","47227019","2","78"
"Homo sapiens","hsa_76","hsa-mir-217","MI0000293","chr2","-","55982967","55983076","2","6093"
"Homo sapiens","hsa_76","hsa-mir-216a","MI0000292","chr2","-","55988950","55989059","2","6093"
"Homo sapiens","hsa_77","hsa-mir-4433b","MI0025511","chr2","-","64340747","64340848","2","93"
"Homo sapiens","hsa_77","hsa-mir-4433a","MI0016773","chr2","+","64340759","64340839","2","93"
"Homo sapiens","hsa_78","hsa-mir-4773-1","MI0017415","chr2","+","151368334","151368411","2","78"
"Homo sapiens","hsa_78","hsa-mir-4773-2","MI0017416","chr2","-","151368334","151368411","2","78"
"Homo sapiens","hsa_79","hsa-mir-1245a","MI0006380","chr2","+","188978092","188978161","2","70"
"Homo sapiens","hsa_79","hsa-mir-1245b","MI0017431","chr2","-","188978093","188978161","2","70"
"Homo sapiens","hsa_80","hsa-mir-3130-1","MI0014147","chr2","-","206783234","206783308","2","75"
"Homo sapiens","hsa_80","hsa-mir-3130-2","MI0014148","chr2","+","206783234","206783308","2","75"
"Homo sapiens","hsa_81","hsa-mir-4776-1","MI0017419","chr2","+","212926257","212926336","2","80"
"Homo sapiens","hsa_81","hsa-mir-4776-2","MI0017420","chr2","-","212926257","212926336","2","80"
"Homo sapiens","hsa_82","hsa-mir-103a-2","MI0000108","chr20","+","3917494","3917571","2","70"
"Homo sapiens","hsa_82","hsa-mir-103b-2","MI0007262","chr20","-","3917502","3917563","2","70"
"Homo sapiens","hsa_83","hsa-mir-499a","MI0003183","chr20","+","34990376","34990497","2","97"
"Homo sapiens","hsa_83","hsa-mir-499b","MI0017396","chr20","-","34990400","34990472","2","97"
"Homo sapiens","hsa_84","hsa-mir-296","MI0000747","chr20","-","58817615","58817694","2","699"
"Homo sapiens","hsa_84","hsa-mir-298","MI0005523","chr20","-","58818226","58818313","2","699"
"Homo sapiens","hsa_86","hsa-mir-1914","MI0008335","chr20","-","63941465","63941544","2","1262"
"Homo sapiens","hsa_86","hsa-mir-647","MI0003662","chr20","-","63942631","63942726","2","1262"
"Homo sapiens","hsa_88","hsa-mir-3648-2","MI0031512","chr21","+","8986999","8987178","2","432"
"Homo sapiens","hsa_88","hsa-mir-3687-2","MI0031515","chr21","+","8987370","8987430","2","432"
"Homo sapiens","hsa_89","hsa-mir-99a","MI0000101","chr21","+","16539089","16539169","2","823"
"Homo sapiens","hsa_89","hsa-let-7c","MI0000064","chr21","+","16539828","16539911","2","823"
"Homo sapiens","hsa_90","hsa-mir-3618","MI0016008","chr22","+","20085746","20085833","2","397"
"Homo sapiens","hsa_90","hsa-mir-1306","MI0006443","chr22","+","20086058","20086142","2","397"
"Homo sapiens","hsa_91","hsa-mir-301b","MI0005568","chr22","+","21652981","21653058","2","405"
"Homo sapiens","hsa_91","hsa-mir-130b","MI0000748","chr22","+","21653304","21653385","2","405"
"Homo sapiens","hsa_92","hsa-mir-3199-1","MI0014247","chr22","-","27920525","27920612","2","87"
"Homo sapiens","hsa_92","hsa-mir-3199-2","MI0014248","chr22","+","27920526","27920611","2","87"
"Homo sapiens","hsa_93","hsa-mir-3909","MI0016413","chr22","+","35335640","35335758","2","1160"
"Homo sapiens","hsa_93","hsa-mir-6069","MI0020346","chr22","-","35336721","35336799","2","1160"
"Homo sapiens","hsa_94","hsa-mir-658","MI0003682","chr22","-","37844272","37844371","2","3503"
"Homo sapiens","hsa_94","hsa-mir-659","MI0003683","chr22","-","37847678","37847774","2","3503"
"Homo sapiens","hsa_96","hsa-mir-425","MI0001448","chr3","-","49020148","49020234","2","562"
"Homo sapiens","hsa_96","hsa-mir-191","MI0000465","chr3","-","49020618","49020709","2","562"
"Homo sapiens","hsa_97","hsa-mir-15b","MI0000438","chr3","+","160404588","160404685","2","238"
"Homo sapiens","hsa_97","hsa-mir-16-2","MI0000115","chr3","+","160404745","160404825","2","238"
"Homo sapiens","hsa_98","hsa-mir-4450","MI0016795","chr4","+","76573568","76573632","2","2059"
"Homo sapiens","hsa_98","hsa-mir-548ah","MI0016796","chr4","+","76575551","76575626","2","2059"
"Homo sapiens","hsa_100","hsa-mir-3688-1","MI0016089","chr4","-","159128802","159128894","2","90"
"Homo sapiens","hsa_100","hsa-mir-3688-2","MI0017447","chr4","+","159128805","159128891","2","90"
"Homo sapiens","hsa_102","hsa-mir-143","MI0000459","chr5","+","149428918","149429023","2","1816"
"Homo sapiens","hsa_102","hsa-mir-145","MI0000461","chr5","+","149430646","149430733","2","1816"
"Homo sapiens","hsa_103","hsa-mir-103a-1","MI0000109","chr5","-","168560896","168560973","2","70"
"Homo sapiens","hsa_103","hsa-mir-103b-1","MI0007261","chr5","+","168560904","168560965","2","70"
"Homo sapiens","hsa_104","hsa-mir-7853","MI0025523","chr6","-","6169304","6169435","2","106"
"Homo sapiens","hsa_104","hsa-mir-5683","MI0019284","chr6","+","6169334","6169409","2","106"
"Homo sapiens","hsa_105","hsa-mir-6721","MI0022556","chr6","-","32170030","32170116","2","9847"
"Homo sapiens","hsa_105","hsa-mir-6833","MI0022678","chr6","+","32179816","32179876","2","9847"
"Homo sapiens","hsa_106","hsa-mir-6873","MI0022720","chr6","-","33287227","33287289","2","3099"
"Homo sapiens","hsa_106","hsa-mir-6834","MI0022679","chr6","+","33290245","33290325","2","3099"
"Homo sapiens","hsa_107","hsa-mir-206","MI0000490","chr6","+","52144349","52144434","2","4693"
"Homo sapiens","hsa_107","hsa-mir-133b","MI0000822","chr6","+","52148923","52149041","2","4693"
"Homo sapiens","hsa_108","hsa-mir-550a-1","MI0003600","chr7","+","30289794","30289890","2","97"
"Homo sapiens","hsa_108","hsa-mir-550b-1","MI0016686","chr7","-","30289794","30289890","2","97"
"Homo sapiens","hsa_109","hsa-mir-550a-2","MI0003601","chr7","+","32732981","32733077","2","97"
"Homo sapiens","hsa_109","hsa-mir-550b-2","MI0016687","chr7","-","32732981","32733077","2","97"
"Homo sapiens","hsa_110","hsa-mir-3914-1","MI0016419","chr7","-","71307672","71307770","2","97"
"Homo sapiens","hsa_110","hsa-mir-3914-2","MI0016421","chr7","+","71307674","71307768","2","97"
"Homo sapiens","hsa_111","hsa-mir-653","MI0003674","chr7","-","93482760","93482855","2","1260"
"Homo sapiens","hsa_111","hsa-mir-489","MI0003124","chr7","-","93483936","93484019","2","1260"
"Homo sapiens","hsa_112","hsa-mir-5692a-1","MI0019297","chr7","+","97963658","97963726","2","824"
"Homo sapiens","hsa_112","hsa-mir-5692c-2","MI0019289","chr7","-","97964405","97964481","2","824"
"Homo sapiens","hsa_114","hsa-mir-5090","MI0017979","chr7","+","102465742","102465826","2","5790"
"Homo sapiens","hsa_114","hsa-mir-4467","MI0016818","chr7","+","102471469","102471531","2","5790"
"Homo sapiens","hsa_116","hsa-mir-29a","MI0000087","chr7","-","130876747","130876810","2","793"
"Homo sapiens","hsa_116","hsa-mir-29b-1","MI0000105","chr7","-","130877459","130877539","2","793"
"Homo sapiens","hsa_117","hsa-mir-4659a","MI0017287","chr8","+","6745164","6745244","2","77"
"Homo sapiens","hsa_117","hsa-mir-4659b","MI0017291","chr8","-","6745168","6745240","2","77"
"Homo sapiens","hsa_119","hsa-mir-3622b","MI0016014","chr8","-","27701673","27701767","2","87"
"Homo sapiens","hsa_119","hsa-mir-3622a","MI0016013","chr8","+","27701677","27701759","2","87"
"Homo sapiens","hsa_120","hsa-mir-486-1","MI0002470","chr8","-","41660441","41660508","2","67"
"Homo sapiens","hsa_120","hsa-mir-486-2","MI0023622","chr8","+","41660444","41660507","2","67"
"Homo sapiens","hsa_121","hsa-mir-5681a","MI0019281","chr8","+","74548543","74548617","2","67"
"Homo sapiens","hsa_121","hsa-mir-5681b","MI0019293","chr8","-","74548550","74548609","2","67"
"Homo sapiens","hsa_122","hsa-mir-3150b","MI0016426","chr8","-","95072911","95072996","2","83"
"Homo sapiens","hsa_122","hsa-mir-3150a","MI0014177","chr8","+","95072914","95072993","2","83"
"Homo sapiens","hsa_123","hsa-mir-599","MI0003611","chr8","-","99536636","99536730","2","226"
"Homo sapiens","hsa_123","hsa-mir-875","MI0005541","chr8","-","99536786","99536861","2","226"
"Homo sapiens","hsa_124","hsa-mir-548d-1","MI0003668","chr8","-","123348034","123348130","2","97"
"Homo sapiens","hsa_124","hsa-mir-548aa-1","MI0016689","chr8","+","123348034","123348130","2","97"
"Homo sapiens","hsa_125","hsa-mir-4662b","MI0017293","chr8","-","124821978","124822058","2","74"
"Homo sapiens","hsa_125","hsa-mir-4662a","MI0017290","chr8","+","124821985","124822051","2","74"
"Homo sapiens","hsa_126","hsa-mir-30b","MI0000441","chr8","-","134800520","134800607","2","4426"
"Homo sapiens","hsa_126","hsa-mir-30d","MI0000255","chr8","-","134804876","134804945","2","4426"
"Homo sapiens","hsa_128","hsa-mir-3910-1","MI0016414","chr9","+","91636251","91636361","2","95"
"Homo sapiens","hsa_128","hsa-mir-3910-2","MI0016431","chr9","-","91636264","91636345","2","95"
"Homo sapiens","hsa_131","hsa-mir-181a-2","MI0000269","chr9","+","124692442","124692551","2","1357"
"Homo sapiens","hsa_131","hsa-mir-181b-2","MI0000683","chr9","+","124693710","124693798","2","1357"
"Homo sapiens","hsa_132","hsa-mir-3960","MI0016964","chr9","+","127785833","127785923","2","175"
"Homo sapiens","hsa_132","hsa-mir-2861","MI0013006","chr9","+","127785918","127786007","2","175"
"Homo sapiens","hsa_133","hsa-mir-199b","MI0000282","chr9","-","128244721","128244830","2","310"
"Homo sapiens","hsa_133","hsa-mir-3154","MI0014182","chr9","-","128244947","128245030","2","310"
"Homo sapiens","hsa_134","hsa-mir-219a-2","MI0000740","chr9","-","128392618","128392714","2","91"
"Homo sapiens","hsa_134","hsa-mir-219b","MI0017299","chr9","+","128392621","128392708","2","91"
"Homo sapiens","hsa_136","hsa-mir-221","MI0000298","chrX","-","45746157","45746266","2","968"
"Homo sapiens","hsa_136","hsa-mir-222","MI0000299","chrX","-","45747015","45747124","2","968"
"Homo sapiens","hsa_138","hsa-mir-6895","MI0022742","chrX","-","53195411","53195488","2","3535"
"Homo sapiens","hsa_138","hsa-mir-6894","MI0022741","chrX","-","53198889","53198945","2","3535"
"Homo sapiens","hsa_139","hsa-mir-98","MI0000100","chrX","-","53556223","53556341","2","1052"
"Homo sapiens","hsa_139","hsa-let-7f-2","MI0000068","chrX","-","53557192","53557274","2","1052"
"Homo sapiens","hsa_140","hsa-mir-4536-1","MI0016906","chrX","-","55451495","55451582","2","88"
"Homo sapiens","hsa_140","hsa-mir-4536-2","MI0019149","chrX","+","55451495","55451582","2","88"
"Homo sapiens","hsa_142","hsa-mir-545","MI0003516","chrX","-","74287104","74287209","2","254"
"Homo sapiens","hsa_142","hsa-mir-374a","MI0000782","chrX","-","74287286","74287357","2","254"
"Homo sapiens","hsa_143","hsa-mir-1912","MI0008333","chrX","+","114651544","114651623","2","1180"
"Homo sapiens","hsa_143","hsa-mir-1264","MI0003758","chrX","+","114652655","114652723","2","1180"
"Homo sapiens","hsa_147","hsa-mir-513c","MI0006649","chrX","-","147189704","147189787","2","9424"
"Homo sapiens","hsa_147","hsa-mir-513b","MI0006648","chrX","-","147199044","147199127","2","9424"
"Homo sapiens","hsa_151","hsa-mir-224","MI0000301","chrX","-","151958578","151958658","2","1135"
"Homo sapiens","hsa_151","hsa-mir-452","MI0001733","chrX","-","151959628","151959712","2","1135"
"Homo sapiens","hsa_153","hsa-mir-3202-1","MI0014252","chrX","+","153981097","153981177","2","80"
"Homo sapiens","hsa_153","hsa-mir-3202-2","MI0014253","chrX","-","153981098","153981176","2","80"
"Homo sapiens","hsa_1","hsa-mir-200b","MI0000342","chr1","+","1167104","1167198","3","1984"
"Homo sapiens","hsa_1","hsa-mir-200a","MI0000737","chr1","+","1167863","1167952","3","1984"
"Homo sapiens","hsa_1","hsa-mir-429","MI0001641","chr1","+","1169005","1169087","3","1984"
"Homo sapiens","hsa_4","hsa-mir-1273f","MI0018002","chr1","+","52928674","52928772","3","11740"
"Homo sapiens","hsa_4","hsa-mir-5095","MI0018001","chr1","+","52934930","52935017","3","11740"
"Homo sapiens","hsa_4","hsa-mir-1273g","MI0018003","chr1","+","52940314","52940413","3","11740"
"Homo sapiens","hsa_10","hsa-mir-214","MI0000290","chr1","-","172138798","172138907","3","5847"
"Homo sapiens","hsa_10","hsa-mir-3120","MI0014136","chr1","+","172138808","172138888","3","5847"
"Homo sapiens","hsa_10","hsa-mir-199a-2","MI0000281","chr1","-","172144535","172144644","3","5847"
"Homo sapiens","hsa_38","hsa-mir-1179","MI0006272","chr15","+","88608107","88608197","3","3818"
"Homo sapiens","hsa_38","hsa-mir-7-2","MI0000264","chr15","+","88611825","88611934","3","3818"
"Homo sapiens","hsa_38","hsa-mir-3529","MI0017351","chr15","-","88611847","88611924","3","3818"
"Homo sapiens","hsa_41","hsa-mir-3677","MI0016078","chr16","+","2270713","2270772","3","3979"
"Homo sapiens","hsa_41","hsa-mir-940","MI0005762","chr16","+","2271747","2271840","3","3979"
"Homo sapiens","hsa_41","hsa-mir-4717","MI0017352","chr16","+","2274620","2274691","3","3979"
"Homo sapiens","hsa_43","hsa-mir-3179-1","MI0014213","chr16","+","14901508","14901591","3","9806"
"Homo sapiens","hsa_43","hsa-mir-3670-1","MI0016071","chr16","+","14907717","14907781","3","9806"
"Homo sapiens","hsa_43","hsa-mir-3180-1","MI0014214","chr16","+","14911220","14911313","3","9806"
"Homo sapiens","hsa_45","hsa-mir-3179-2","MI0014216","chr16","+","16300159","16300242","3","9808"
"Homo sapiens","hsa_45","hsa-mir-3670-2","MI0019112","chr16","+","16306370","16306434","3","9808"
"Homo sapiens","hsa_45","hsa-mir-3180-2","MI0014215","chr16","+","16309879","16309966","3","9808"
"Homo sapiens","hsa_47","hsa-mir-3180-3","MI0014217","chr16","-","18402178","18402271","3","9800"
"Homo sapiens","hsa_47","hsa-mir-3670-3","MI0031513","chr16","-","18405698","18405762","3","9800"
"Homo sapiens","hsa_47","hsa-mir-3179-3","MI0014221","chr16","-","18411894","18411977","3","9800"
"Homo sapiens","hsa_68","hsa-mir-24-2","MI0000081","chr19","-","13836287","13836359","3","373"
"Homo sapiens","hsa_68","hsa-mir-27a","MI0000085","chr19","-","13836440","13836517","3","373"
"Homo sapiens","hsa_68","hsa-mir-23a","MI0000079","chr19","-","13836587","13836659","3","373"
"Homo sapiens","hsa_72","hsa-mir-99b","MI0000746","chr19","+","51692612","51692681","3","728"
"Homo sapiens","hsa_72","hsa-let-7e","MI0000066","chr19","+","51692786","51692864","3","728"
"Homo sapiens","hsa_72","hsa-mir-125a","MI0000469","chr19","+","51693254","51693339","3","728"
"Homo sapiens","hsa_75","hsa-mir-6804","MI0022649","chr19","-","55230885","55230952","3","14366"
"Homo sapiens","hsa_75","hsa-mir-6802","MI0022647","chr19","-","55239912","55239976","3","14366"
"Homo sapiens","hsa_75","hsa-mir-6803","MI0022648","chr19","-","55245186","55245250","3","14366"
"Homo sapiens","hsa_87","hsa-mir-6724-1","MI0022559","chr21","+","8205315","8205406","3","3590"
"Homo sapiens","hsa_87","hsa-mir-3648-1","MI0016048","chr21","+","8208473","8208652","3","3590"
"Homo sapiens","hsa_87","hsa-mir-3687-1","MI0016088","chr21","+","8208844","8208904","3","3590"
"Homo sapiens","hsa_95","hsa-let-7a-3","MI0000062","chr22","+","46112749","46112822","3","1020"
"Homo sapiens","hsa_95","hsa-mir-4763","MI0017404","chr22","+","46113566","46113657","3","1020"
"Homo sapiens","hsa_95","hsa-let-7b","MI0000063","chr22","+","46113686","46113768","3","1020"
"Homo sapiens","hsa_101","hsa-mir-449a","MI0001648","chr5","-","55170532","55170622","3","1822"
"Homo sapiens","hsa_101","hsa-mir-449b","MI0003673","chr5","-","55170646","55170742","3","1822"
"Homo sapiens","hsa_101","hsa-mir-449c","MI0003823","chr5","-","55172262","55172353","3","1822"
"Homo sapiens","hsa_113","hsa-mir-25","MI0000082","chr7","-","100093560","100093643","3","515"
"Homo sapiens","hsa_113","hsa-mir-93","MI0000095","chr7","-","100093768","100093847","3","515"
"Homo sapiens","hsa_113","hsa-mir-106b","MI0000734","chr7","-","100093993","100094074","3","515"
"Homo sapiens","hsa_115","hsa-mir-182","MI0000272","chr7","-","129770383","129770492","3","4632"
"Homo sapiens","hsa_115","hsa-mir-96","MI0000098","chr7","-","129774692","129774769","3","4632"
"Homo sapiens","hsa_115","hsa-mir-183","MI0000273","chr7","-","129774905","129775014","3","4632"
