input_miRNA,base_name,Organism,Cluster ID,Accession,Chromosome,Strand,Start,Stop,Precursors in cluster,Spanning size of cluster
"hsa-mir-1269b, mature,MIMAT0019059",hsa-mir-1269b,,,,,,,,,
"hsa-mir-127, mature,MIMAT0000446",hsa-mir-127,Homo sapiens,hsa_33,MI0000472,chr14,+,100882979.0,100883075.0,8.0,15724.0
"hsa-mir-127, mature,MIMAT0004604",hsa-mir-127,Homo sapiens,hsa_33,MI0000472,chr14,+,100882979.0,100883075.0,8.0,15724.0
"hsa-mir-1270, mature,MIMAT0005924",hsa-mir-1270,,,,,,,,,
"hsa-mir-1271, mature,MIMAT0005796",hsa-mir-1271,,,,,,,,,
"hsa-mir-1272, mature,MIMAT0005925",hsa-mir-1272,,,,,,,,,
"hsa-mir-1273a, mature,MIMAT0005926",hsa-mir-1273a,,,,,,,,,
"hsa-mir-1273c, mature,MIMAT0015017",hsa-mir-1273c,,,,,,,,,
"hsa-mir-1273h, mature,MIMAT0030416",hsa-mir-1273h,,,,,,,,,
"hsa-mir-1275, mature,MIMAT0005929",hsa-mir-1275,,,,,,,,,
"hsa-mir-1276, mature,MIMAT0005930",hsa-mir-1276,,,,,,,,,
"hsa-mir-1277, mature,MIMAT0005933",hsa-mir-1277,,,,,,,,,
"hsa-mir-1277, mature,MIMAT0022724",hsa-mir-1277,,,,,,,,,
"hsa-mir-1278, mature,MIMAT0005936",hsa-mir-1278,,,,,,,,,
"hsa-mir-128-1, mature,MIMAT0000424",hsa-mir-128-1,,,,,,,,,
"hsa-mir-128-1, mature,MIMAT0026477",hsa-mir-128-1,,,,,,,,,
"hsa-mir-128-2, mature,MIMAT0031095",hsa-mir-128-2,,,,,,,,,
"hsa-mir-1281, mature,MIMAT0005939",hsa-mir-1281,,,,,,,,,
"hsa-mir-1283-1, mature,MIMAT0005799",hsa-mir-1283-1,Homo sapiens,hsa_73,MI0003832,chr19,+,53688481.0,53688567.0,46.0,95752.0
"hsa-mir-1284, mature,MIMAT0005941",hsa-mir-1284,,,,,,,,,
"hsa-mir-1285-1, mature,MIMAT0005876",hsa-mir-1285-1,,,,,,,,,
"hsa-mir-1286, mature,MIMAT0005877",hsa-mir-1286,,,,,,,,,
"hsa-mir-1287, mature,MIMAT0005878",hsa-mir-1287,,,,,,,,,
"hsa-mir-1287, mature,MIMAT0026738",hsa-mir-1287,,,,,,,,,
"hsa-mir-1288, mature,MIMAT0005942",hsa-mir-1288,,,,,,,,,
"hsa-mir-1288, mature,MIMAT0026743",hsa-mir-1288,,,,,,,,,
"hsa-mir-1289-1, mature,MIMAT0005879",hsa-mir-1289-1,,,,,,,,,
"hsa-mir-129-1, mature,MIMAT0000242",hsa-mir-129-1,,,,,,,,,
"hsa-mir-129-1, mature,MIMAT0004548",hsa-mir-129-1,,,,,,,,,
"hsa-mir-129-2, mature,MIMAT0004605",hsa-mir-129-2,,,,,,,,,
"hsa-mir-1290, mature,MIMAT0005880",hsa-mir-1290,,,,,,,,,
"hsa-mir-1291, mature,MIMAT0005881",hsa-mir-1291,,,,,,,,,
"hsa-mir-1292, mature,MIMAT0005943",hsa-mir-1292,,,,,,,,,
"hsa-mir-1292, mature,MIMAT0022948",hsa-mir-1292,,,,,,,,,
"hsa-mir-1293, mature,MIMAT0005883",hsa-mir-1293,,,,,,,,,
"hsa-mir-1294, mature,MIMAT0005884",hsa-mir-1294,,,,,,,,,
"hsa-mir-1295a, mature,MIMAT0005885",hsa-mir-1295a,Homo sapiens,hsa_9,MI0006357,chr1,-,171101728.0,171101806.0,2.0,71.0
"hsa-mir-1295b, mature,MIMAT0022293",hsa-mir-1295b,Homo sapiens,hsa_9,MI0019146,chr1,+,171101739.0,171101798.0,2.0,71.0
"hsa-mir-1295b, mature,MIMAT0022294",hsa-mir-1295b,Homo sapiens,hsa_9,MI0019146,chr1,+,171101739.0,171101798.0,2.0,71.0
"hsa-mir-1296, mature,MIMAT0005794",hsa-mir-1296,,,,,,,,,
"hsa-mir-1296, mature,MIMAT0026637",hsa-mir-1296,,,,,,,,,
"hsa-mir-1298, mature,MIMAT0005800",hsa-mir-1298,,,,,,,,,
"hsa-mir-1298, mature,MIMAT0026641",hsa-mir-1298,,,,,,,,,
"hsa-mir-1301, mature,MIMAT0005797",hsa-mir-1301,,,,,,,,,
"hsa-mir-1301, mature,MIMAT0026639",hsa-mir-1301,,,,,,,,,
"hsa-mir-1302-5, mature,MIMAT0005890",hsa-mir-1302-5,,,,,,,,,
"hsa-mir-1303, mature,MIMAT0005891",hsa-mir-1303,,,,,,,,,
"hsa-mir-1304, mature,MIMAT0005892",hsa-mir-1304,,,,,,,,,
"hsa-mir-1304, mature,MIMAT0022720",hsa-mir-1304,,,,,,,,,
"hsa-mir-1305, mature,MIMAT0005893",hsa-mir-1305,,,,,,,,,
"hsa-mir-1306, mature,MIMAT0005950",hsa-mir-1306,Homo sapiens,hsa_90,MI0006443,chr22,+,20086058.0,20086142.0,2.0,397.0
"hsa-mir-1306, mature,MIMAT0022726",hsa-mir-1306,Homo sapiens,hsa_90,MI0006443,chr22,+,20086058.0,20086142.0,2.0,397.0
"hsa-mir-1307, mature,MIMAT0005951",hsa-mir-1307,,,,,,,,,
"hsa-mir-1307, mature,MIMAT0022727",hsa-mir-1307,,,,,,,,,
"hsa-mir-130a, mature,MIMAT0000425",hsa-mir-130a,,,,,,,,,
"hsa-mir-130a, mature,MIMAT0004593",hsa-mir-130a,,,,,,,,,
"hsa-mir-130b, mature,MIMAT0000691",hsa-mir-130b,Homo sapiens,hsa_91,MI0000748,chr22,+,21653304.0,21653385.0,2.0,405.0
"hsa-mir-130b, mature,MIMAT0004680",hsa-mir-130b,Homo sapiens,hsa_91,MI0000748,chr22,+,21653304.0,21653385.0,2.0,405.0
"hsa-mir-132, mature,MIMAT0000426",hsa-mir-132,Homo sapiens,hsa_49,MI0000449,chr17,-,2049908.0,2050008.0,2.0,473.0
"hsa-mir-132, mature,MIMAT0004594",hsa-mir-132,Homo sapiens,hsa_49,MI0000449,chr17,-,2049908.0,2050008.0,2.0,473.0
"hsa-mir-1322, mature,MIMAT0005953",hsa-mir-1322,,,,,,,,,
"hsa-mir-1323, mature,MIMAT0005795",hsa-mir-1323,Homo sapiens,hsa_73,MI0003786,chr19,+,53671968.0,53672040.0,46.0,95752.0
"hsa-mir-133a-1, mature,MIMAT0000427",hsa-mir-133a-1,Homo sapiens,hsa_62,MI0000450,chr18,-,21825698.0,21825785.0,2.0,3391.0
"hsa-mir-133a-1, mature,MIMAT0026478",hsa-mir-133a-1,Homo sapiens,hsa_62,MI0000450,chr18,-,21825698.0,21825785.0,2.0,3391.0
"hsa-mir-133b, mature,MIMAT0000770",hsa-mir-133b,Homo sapiens,hsa_107,MI0000822,chr6,+,52148923.0,52149041.0,2.0,4693.0
"hsa-mir-134, mature,MIMAT0000447",hsa-mir-134,Homo sapiens,hsa_34,MI0000474,chr14,+,101054687.0,101054759.0,42.0,44736.0
"hsa-mir-134, mature,MIMAT0026481",hsa-mir-134,Homo sapiens,hsa_34,MI0000474,chr14,+,101054687.0,101054759.0,42.0,44736.0
"hsa-mir-1343, mature,MIMAT0019776",hsa-mir-1343,,,,,,,,,
"hsa-mir-135a-1, mature,MIMAT0000428",hsa-mir-135a-1,,,,,,,,,
"hsa-mir-135a-1, mature,MIMAT0004595",hsa-mir-135a-1,,,,,,,,,
"hsa-mir-135b, mature,MIMAT0000758",hsa-mir-135b,,,,,,,,,
"hsa-mir-135b, mature,MIMAT0004698",hsa-mir-135b,,,,,,,,,
"hsa-mir-136, mature,MIMAT0000448",hsa-mir-136,Homo sapiens,hsa_33,MI0000475,chr14,+,100884702.0,100884783.0,8.0,15724.0
"hsa-mir-136, mature,MIMAT0004606",hsa-mir-136,Homo sapiens,hsa_33,MI0000475,chr14,+,100884702.0,100884783.0,8.0,15724.0
"hsa-mir-137, mature,MIMAT0000429",hsa-mir-137,Homo sapiens,hsa_7,MI0000454,chr1,-,98046070.0,98046171.0,2.0,930.0
"hsa-mir-138-1, mature,MIMAT0000430",hsa-mir-138-1,,,,,,,,,
"hsa-mir-138-1, mature,MIMAT0004607",hsa-mir-138-1,,,,,,,,,
"hsa-mir-138-2, mature,MIMAT0004596",hsa-mir-138-2,,,,,,,,,
"hsa-mir-139, mature,MIMAT0000250",hsa-mir-139,,,,,,,,,
"hsa-mir-139, mature,MIMAT0004552",hsa-mir-139,,,,,,,,,
"hsa-mir-140, mature,MIMAT0000431",hsa-mir-140,,,,,,,,,
"hsa-mir-140, mature,MIMAT0004597",hsa-mir-140,,,,,,,,,
"hsa-mir-141, mature,MIMAT0000432",hsa-mir-141,Homo sapiens,hsa_24,MI0000457,chr12,+,6964097.0,6964191.0,2.0,493.0
"hsa-mir-141, mature,MIMAT0004598",hsa-mir-141,Homo sapiens,hsa_24,MI0000457,chr12,+,6964097.0,6964191.0,2.0,493.0
"hsa-mir-142, mature,MIMAT0000433",hsa-mir-142,Homo sapiens,hsa_57,MI0000458,chr17,-,58331232.0,58331318.0,2.0,4791.0
"hsa-mir-142, mature,MIMAT0000434",hsa-mir-142,Homo sapiens,hsa_57,MI0000458,chr17,-,58331232.0,58331318.0,2.0,4791.0
"hsa-mir-143, mature,MIMAT0000435",hsa-mir-143,Homo sapiens,hsa_102,MI0000459,chr5,+,149428918.0,149429023.0,2.0,1816.0
"hsa-mir-143, mature,MIMAT0004599",hsa-mir-143,Homo sapiens,hsa_102,MI0000459,chr5,+,149428918.0,149429023.0,2.0,1816.0
"hsa-mir-144, mature,MIMAT0000436",hsa-mir-144,Homo sapiens,hsa_54,MI0000460,chr17,-,28861533.0,28861618.0,4.0,362.0
"hsa-mir-144, mature,MIMAT0004600",hsa-mir-144,Homo sapiens,hsa_54,MI0000460,chr17,-,28861533.0,28861618.0,4.0,362.0
"hsa-mir-145, mature,MIMAT0000437",hsa-mir-145,Homo sapiens,hsa_102,MI0000461,chr5,+,149430646.0,149430733.0,2.0,1816.0
"hsa-mir-145, mature,MIMAT0004601",hsa-mir-145,Homo sapiens,hsa_102,MI0000461,chr5,+,149430646.0,149430733.0,2.0,1816.0
"hsa-mir-1468, mature,MIMAT0006789",hsa-mir-1468,,,,,,,,,
"hsa-mir-1469, mature,MIMAT0007347",hsa-mir-1469,,,,,,,,,
"hsa-mir-146a, mature,MIMAT0000449",hsa-mir-146a,,,,,,,,,
"hsa-mir-146a, mature,MIMAT0004608",hsa-mir-146a,,,,,,,,,
"hsa-mir-146b, mature,MIMAT0002809",hsa-mir-146b,,,,,,,,,
"hsa-mir-146b, mature,MIMAT0004766",hsa-mir-146b,,,,,,,,,
"hsa-mir-147a, mature,MIMAT0000251",hsa-mir-147a,,,,,,,,,
"hsa-mir-147b, mature,MIMAT0004928",hsa-mir-147b,,,,,,,,,
"hsa-mir-148a, mature,MIMAT0000243",hsa-mir-148a,,,,,,,,,
"hsa-mir-148a, mature,MIMAT0004549",hsa-mir-148a,,,,,,,,,
"hsa-mir-148b, mature,MIMAT0000759",hsa-mir-148b,,,,,,,,,
"hsa-mir-148b, mature,MIMAT0004699",hsa-mir-148b,,,,,,,,,
"hsa-mir-149, mature,MIMAT0000450",hsa-mir-149,,,,,,,,,
"hsa-mir-149, mature,MIMAT0004609",hsa-mir-149,,,,,,,,,
"hsa-mir-150, mature,MIMAT0000451",hsa-mir-150,,,,,,,,,
"hsa-mir-150, mature,MIMAT0004610",hsa-mir-150,,,,,,,,,
"hsa-mir-151a, mature,MIMAT0000757",hsa-mir-151a,,,,,,,,,
"hsa-mir-151a, mature,MIMAT0004697",hsa-mir-151a,,,,,,,,,
"hsa-mir-151b, mature,MIMAT0010214",hsa-mir-151b,Homo sapiens,hsa_32,MI0003772,chr14,-,100109419.0,100109514.0,2.0,335.0
"hsa-mir-152, mature,MIMAT0000438",hsa-mir-152,,,,,,,,,
"hsa-mir-152, mature,MIMAT0026479",hsa-mir-152,,,,,,,,,
"hsa-mir-153-1, mature,MIMAT0000439",hsa-mir-153-1,,,,,,,,,
"hsa-mir-153-2, mature,MIMAT0026480",hsa-mir-153-2,,,,,,,,,
"hsa-mir-1537, mature,MIMAT0007399",hsa-mir-1537,,,,,,,,,
"hsa-mir-1537, mature,MIMAT0026765",hsa-mir-1537,,,,,,,,,
"hsa-mir-1538, mature,MIMAT0007400",hsa-mir-1538,,,,,,,,,
"hsa-mir-154, mature,MIMAT0000452",hsa-mir-154,Homo sapiens,hsa_34,MI0000480,chr14,+,101059755.0,101059838.0,42.0,44736.0
"hsa-mir-154, mature,MIMAT0000453",hsa-mir-154,Homo sapiens,hsa_34,MI0000480,chr14,+,101059755.0,101059838.0,42.0,44736.0
"hsa-mir-155, mature,MIMAT0000646",hsa-mir-155,,,,,,,,,
"hsa-mir-155, mature,MIMAT0004658",hsa-mir-155,,,,,,,,,
"hsa-mir-1587, mature,MIMAT0019077",hsa-mir-1587,,,,,,,,,
"hsa-mir-15a, mature,MIMAT0000068",hsa-mir-15a,Homo sapiens,hsa_30,MI0000069,chr13,-,50049119.0,50049201.0,2.0,229.0
"hsa-mir-15a, mature,MIMAT0004488",hsa-mir-15a,Homo sapiens,hsa_30,MI0000069,chr13,-,50049119.0,50049201.0,2.0,229.0
"hsa-mir-15b, mature,MIMAT0000417",hsa-mir-15b,Homo sapiens,hsa_97,MI0000438,chr3,+,160404588.0,160404685.0,2.0,238.0
"hsa-mir-15b, mature,MIMAT0004586",hsa-mir-15b,Homo sapiens,hsa_97,MI0000438,chr3,+,160404588.0,160404685.0,2.0,238.0
"hsa-mir-16-1, mature,MIMAT0000069",hsa-mir-16-1,Homo sapiens,hsa_30,MI0000070,chr13,-,50048973.0,50049061.0,2.0,229.0
"hsa-mir-16-1, mature,MIMAT0004489",hsa-mir-16-1,Homo sapiens,hsa_30,MI0000070,chr13,-,50048973.0,50049061.0,2.0,229.0
"hsa-mir-16-2, mature,MIMAT0004518",hsa-mir-16-2,Homo sapiens,hsa_97,MI0000115,chr3,+,160404745.0,160404825.0,2.0,238.0
"hsa-mir-17, mature,MIMAT0000070",hsa-mir-17,Homo sapiens,hsa_31,MI0000071,chr13,+,91350605.0,91350688.0,6.0,787.0
"hsa-mir-17, mature,MIMAT0000071",hsa-mir-17,Homo sapiens,hsa_31,MI0000071,chr13,+,91350605.0,91350688.0,6.0,787.0
"hsa-mir-181a-1, mature,MIMAT0000256",hsa-mir-181a-1,Homo sapiens,hsa_11,MI0000289,chr1,-,198859044.0,198859153.0,2.0,281.0
"hsa-mir-181a-1, mature,MIMAT0000270",hsa-mir-181a-1,Homo sapiens,hsa_11,MI0000289,chr1,-,198859044.0,198859153.0,2.0,281.0
